Filename,Label,Duration (seconds)
XC128013.ogg,abethr1,45.60978125
XC363501.ogg,abethr1,18.6775625
XC363502.ogg,abethr1,38.76571875
XC363503.ogg,abethr1,29.25715625
XC363504.ogg,abethr1,42.3445
XC379322.ogg,abethr1,9.408
XC432639.ogg,abethr1,25.392
XC467121.ogg,abethr1,42.631
XC467122.ogg,abethr1,20.688
XC531557.ogg,abethr1,19.931
XC585802.ogg,abethr1,19.464
XC606253.ogg,abethr1,24.267
XC616997.ogg,abethr1,44.352
XC639039.ogg,abethr1,34.0114375
XC120250.ogg,abhori1,38.00815625
XC127317.ogg,abhori1,44.244
XC127318.ogg,abhori1,18.144
XC128202.ogg,abhori1,32.33959375
XC132733.ogg,abhori1,23.09225
XC138433.ogg,abhori1,24.9730625
XC153687.ogg,abhori1,35.47428125
XC188925.ogg,abhori1,20.14040625
XC195537.ogg,abhori1,26.1746875
XC196120.ogg,abhori1,26.43590625
XC196760.ogg,abhori1,7.1575625
XC196761.ogg,abhori1,11.57225
XC200588.ogg,abhori1,53.6555
XC200793.ogg,abhori1,21.48
XC200797.ogg,abhori1,50.904
XC201222.ogg,abhori1,38.68734375
XC205393.ogg,abhori1,27.29796875
XC206017.ogg,abhori1,37.7730625
XC239946.ogg,abhori1,15.9869375
XC240626.ogg,abhori1,36.5714375
XC247347.ogg,abhori1,22.85715625
XC247348.ogg,abhori1,34.82121875
XC247350.ogg,abhori1,14.6285625
XC247351.ogg,abhori1,14.8375625
XC247353.ogg,abhori1,26.906125
XC255209.ogg,abhori1,45.5575625
XC268630.ogg,abhori1,32.688
XC294766.ogg,abhori1,45.3224375
XC307329.ogg,abhori1,49.584
XC316920.ogg,abhori1,36.24
XC329476.ogg,abhori1,20.66284375
XC332545.ogg,abhori1,39.0530625
XC348440.ogg,abhori1,10.47509375
XC354453.ogg,abhori1,39.94121875
XC361351.ogg,abhori1,43.85959375
XC364300.ogg,abhori1,44.064
XC377499.ogg,abhori1,18.80815625
XC389190.ogg,abhori1,40.04571875
XC393447.ogg,abhori1,22.776
XC393448.ogg,abhori1,18.072
XC393449.ogg,abhori1,17.976
XC396271.ogg,abhori1,26.04409375
XC398894.ogg,abhori1,29.283
XC409989.ogg,abhori1,38.034
XC410289.ogg,abhori1,30.72
XC410449.ogg,abhori1,36.28409375
XC412167.ogg,abhori1,44.46
XC413571.ogg,abhori1,13.27021875
XC424186.ogg,abhori1,41.87428125
XC428883.ogg,abhori1,29.49225
XC430723.ogg,abhori1,25.129
XC437435.ogg,abhori1,36.5714375
XC442426.ogg,abhori1,13.3485625
XC444137.ogg,abhori1,28.7346875
XC452592.ogg,abhori1,27.336
XC459522.ogg,abhori1,21.49878125
XC459540.ogg,abhori1,17.423
XC462078.ogg,abhori1,12.0163125
XC466067.ogg,abhori1,24.86796875
XC467135.ogg,abhori1,15.09878125
XC467136.ogg,abhori1,28.0555
XC473731.ogg,abhori1,49.03184375
XC489199.ogg,abhori1,48.696
XC492716.ogg,abhori1,27.663
XC511033.ogg,abhori1,21.603
XC531229.ogg,abhori1,23.092
XC536488.ogg,abhori1,24.55509375
XC540578.ogg,abhori1,35.976
XC541155.ogg,abhori1,20.244
XC541157.ogg,abhori1,22.073
XC546582.ogg,abhori1,18.24
XC547998.ogg,abhori1,25.8
XC568398.ogg,abhori1,17.65878125
XC585198.ogg,abhori1,30.048
XC595798.ogg,abhori1,12.303
XC601811.ogg,abhori1,7.896
XC607151.ogg,abhori1,11.904
XC607403.ogg,abhori1,16.992
XC623054.ogg,abhori1,22.726
XC623062.ogg,abhori1,45.244
XC634810.ogg,abhori1,53.256
XC640719.ogg,abhori1,36.44
XC649551.ogg,abhori1,41.87428125
XC649808.ogg,abhori1,36.519
